date,content,thumbUp
0621,吴昕 加油(ง •̀_•́)ง,11
0621,哇哦,0
0621,为了看  直接开了个会员,0
0621,啊啊啊啊啊啊哦,11
0621,打卡,0
0621,欢迎收看《晓明历险记》,129
0621,陈松伶，唱的比原版还要好啊，好给力,12
0621,来喽,17
0621,吴昕沈梦辰爱你们哦！,5
0621,欣欣子(ง •̀_•́)ง,3
0621,我来了,7
0621,这就开始了？,27
0621,来看美昕啦,18
0621,冲呀 琦琦子,15
0621,郁可唯冲,14
0621,期待姐姐们～来啦,2
0621,啊啊啊啊啊啊啊啊啊啊啊来了姐姐们我来了,6
0621,第一次追选秀综艺就交给姐姐们了,50
0621,为黄晓明打call哈哈哈哈,21
0621,万茜姐姐我来了！万花筒给你撑腰了！,13
0621,我不喜欢看选秀，但这个的精彩吸引我了,3
0621,冲鸭姐姐们,12
0621,等我下班在看,2
0621,猝不及防的开始了,57
0621,昕昕子,81
0621,金沙 吴昕 张含韵!!!,19
0621,工作人员辛苦了,23
0621,晓明哥加油 挺住哈哈哈哈哈哈哈哈哈,12
0621,浴室歌姬冲鸭！！！！！！,6
0621,本年度最期待的综艺哈哈哈哈哈哈哈,97
0621,55555爱死茜茜子了,7
0621,我是朋友介绍过来看的，听说很搞笑，期待！🤣,1
0621,来啦！期待(๑˙ー˙๑),2
0621,这都是神仙级的姐姐了,0
0621,啊啊啊啊啊，乘风破浪的姐姐们，冲啊,0
0621,张含韵，仙女，出道吧,13
0621,表示敬佩节目组,107
0621,姐姐们冲啊！！,9
0621,终于等到你！,10
0621,来啦来啦！！！！！,9
0621,我来啦哈哈 ！如歌歌,7
0621,昕昕我来了,18
0621,哈哈哈哈哈  激动,9
0621,昕昕子加油！,11
0621,来了来了，来看孟佳和霏,6
0621,姐姐们冲呀,7
0621,宁静大姐大   最爱,2
0621,昕姐,23
0621,李斯丹妮冲冲冲,18
0621,我竟然知道12点开始,9
0621,唯唯子冲啊！！！！！！！,6
0621,孟佳冲冲冲！！！,7
0621,加油(ง •̀_•́)ง,1
0621,终于开播了。,3
0621,来了来了,9
0621,静姐~宁静~,7
0621,来啦！！~~~,4
0621,终于能看正片了,2
0621,我来了！！！,6
0621,来了,1
0621,昕昕子加油！,10
0621,吴昕沈梦辰钟丽缇伊能静冲鸭！！！,8
0621,来了来了，为什么一点消息都没有,2
0621,四刷！！！！！芒果给我搞快点！！！！！,0
0621,来了来了，从不追综艺的我,1
0621,文案走心了，不愧是芒果台,6
0621,姐姐们我来了,11
0621,什么时候播的，怎么不知道啊,6
0621,晓明哥应该退位让贤给我们朱一龙哥哥啦,1
0621,郁可唯大vocal,4
0621,姐姐们冲鸭！加油,0
